Passenger 1 ID,Passenger 2 ID,Number of Flights Together,From,To
2956,4361,4,2017-03-27,2017-05-07
1373,4361,4,2017-03-27,2017-05-07
1373,2956,4,2017-03-27,2017-05-07
1963,2075,5,2017-03-27,2017-05-11
1963,2062,5,2017-03-27,2017-05-11
4223,5885,5,2017-03-27,2017-05-11
2075,5885,5,2017-03-27,2017-05-11
2075,4223,5,2017-03-27,2017-05-11
1963,4223,5,2017-03-27,2017-05-11
2062,3148,5,2017-03-27,2017-05-11
3148,4223,5,2017-03-27,2017-05-11
2062,4223,5,2017-03-27,2017-05-11
1389,3665,5,2017-03-27,2017-05-12
1341,3665,5,2017-03-27,2017-05-12
393,1335,5,2017-03-27,2017-05-13
117,393,5,2017-03-27,2017-05-13
117,756,5,2017-03-27,2017-05-13
393,7508,5,2017-03-27,2017-05-13
4384,7551,5,2017-03-27,2017-05-13
117,1335,5,2017-03-27,2017-05-13
117,4384,5,2017-03-27,2017-05-13
117,7508,5,2017-03-27,2017-05-13
393,4384,5,2017-03-27,2017-05-13
1335,7551,5,2017-03-27,2017-05-13
756,7551,5,2017-03-27,2017-05-13
393,7551,5,2017-03-27,2017-05-13
1430,5865,6,2017-03-27,2017-05-14
1335,7508,6,2017-03-27,2017-05-14
3237,5067,4,2017-03-27,2017-05-14
1335,4384,6,2017-03-27,2017-05-14
756,1335,6,2017-03-27,2017-05-14
1430,5808,6,2017-03-27,2017-05-14
919,1325,4,2017-03-27,2017-05-15
1340,2991,4,2017-03-27,2017-05-15
919,2991,4,2017-03-27,2017-05-15
919,1340,4,2017-03-27,2017-05-15
906,4324,4,2017-03-27,2017-05-18
7995,7997,4,2017-03-27,2017-05-20
291,4245,4,2017-03-27,2017-05-22
4245,4391,4,2017-03-27,2017-05-22
1982,4208,5,2017-03-27,2017-05-22
4076,4208,5,2017-03-27,2017-05-22
1400,1794,4,2017-03-27,2017-05-23
229,4391,4,2017-03-27,2017-05-24
652,1430,4,2017-03-27,2017-05-25
652,4248,5,2017-03-27,2017-05-25
2288,5048,5,2017-03-27,2017-05-26
2288,5885,5,2017-03-27,2017-05-26
53,5048,5,2017-03-27,2017-05-26
1994,5048,5,2017-03-27,2017-05-26
2062,5048,5,2017-03-27,2017-05-26
2288,5310,5,2017-03-27,2017-05-26
1994,2288,5,2017-03-27,2017-05-26
5048,5885,5,2017-03-27,2017-05-26
4384,7508,8,2017-03-27,2017-05-27
1319,7508,5,2017-03-27,2017-05-27
756,7508,8,2017-03-27,2017-05-27
1319,4384,5,2017-03-27,2017-05-27
53,5310,6,2017-03-27,2017-05-29
53,5885,6,2017-03-27,2017-05-29
53,1994,6,2017-03-27,2017-05-29
2062,5310,6,2017-03-27,2017-05-29
1382,3503,4,2017-03-27,2017-05-29
1994,2062,6,2017-03-27,2017-05-29
5310,5885,6,2017-03-27,2017-05-29
53,5865,4,2017-03-27,2017-05-29
1994,5310,6,2017-03-27,2017-05-29
1940,4249,6,2017-03-27,2017-05-29
2062,5865,4,2017-03-27,2017-05-29
5310,5865,4,2017-03-27,2017-05-29
663,4249,6,2017-03-27,2017-05-29
2062,5885,7,2017-03-27,2017-05-29
2268,3858,4,2017-03-27,2017-06-03
3655,4522,4,2017-03-27,2017-06-03
2072,3858,4,2017-03-27,2017-06-03
3517,3858,4,2017-03-27,2017-06-03
3517,4522,4,2017-03-27,2017-06-03
3655,3858,4,2017-03-27,2017-06-03
2268,4522,4,2017-03-27,2017-06-03
2072,4522,4,2017-03-27,2017-06-03
7951,7986,5,2017-03-27,2017-06-06
2412,3573,6,2017-03-27,2017-06-08
117,7551,6,2017-03-27,2017-06-10
4076,5096,7,2017-03-27,2017-06-10
1982,4248,4,2017-03-27,2017-06-10
3365,5048,4,2017-03-27,2017-06-12
2131,5319,4,2017-03-27,2017-06-14
3250,5319,4,2017-03-27,2017-06-14
2966,3511,4,2017-03-27,2017-06-14
2443,3511,4,2017-03-27,2017-06-14
3661,3858,5,2017-03-27,2017-06-16
1994,4522,4,2017-03-27,2017-06-16
3661,4522,5,2017-03-27,2017-06-16
1994,3661,4,2017-03-27,2017-06-16
1982,5096,8,2017-03-27,2017-06-20
3243,4253,4,2017-03-27,2017-06-22
4253,4313,4,2017-03-27,2017-06-22
2960,3590,7,2017-03-27,2017-06-24
2960,3503,5,2017-03-27,2017-06-24
1389,2960,5,2017-03-27,2017-06-24
2926,3590,12,2017-03-27,2017-06-24
2926,3503,10,2017-03-27,2017-06-24
1389,3590,6,2017-03-27,2017-06-24
1389,3503,4,2017-03-27,2017-06-24
1389,2926,7,2017-03-27,2017-06-27
1994,3858,5,2017-03-27,2017-07-04
2497,7585,6,2017-03-27,2017-07-05
3508,4274,5,2017-03-27,2017-07-07
3663,4274,4,2017-03-27,2017-07-07
756,1319,6,2017-03-27,2017-07-08
1052,7591,6,2017-03-27,2017-07-09
3655,5310,4,2017-03-27,2017-07-11
7971,7979,5,2017-03-27,2017-07-12
7934,7971,5,2017-03-27,2017-07-12
7932,7937,4,2017-03-27,2017-07-12
3611,4274,6,2017-03-27,2017-07-12
652,4217,7,2017-03-27,2017-07-15
4076,5370,4,2017-03-27,2017-07-17
718,1389,5,2017-03-27,2017-07-17
1389,3573,4,2017-03-27,2017-07-17
718,3573,4,2017-03-27,2017-07-17
4076,4248,5,2017-03-27,2017-07-17
7934,7979,6,2017-03-27,2017-07-18
2459,3522,4,2017-03-27,2017-07-18
2207,5092,4,2017-03-27,2017-07-24
3611,5092,4,2017-03-27,2017-07-24
2174,3693,6,2017-03-27,2017-07-26
1357,3522,4,2017-03-27,2017-07-27
7919,7961,4,2017-03-27,2017-07-29
2075,3148,6,2017-03-27,2017-07-30
1374,2953,6,2017-03-27,2017-08-04
971,3000,4,2017-03-27,2017-08-04
3243,4217,4,2017-03-27,2017-08-09
1994,4217,5,2017-03-27,2017-08-09
3663,4217,4,2017-03-27,2017-08-09
3243,3663,4,2017-03-27,2017-08-09
2062,4310,4,2017-03-27,2017-08-10
1052,1325,4,2017-03-27,2017-08-14
1340,7591,5,2017-03-27,2017-08-17
7902,7910,5,2017-03-27,2017-08-20
7910,7950,5,2017-03-27,2017-08-20
7910,7983,5,2017-03-27,2017-08-20
7950,7983,6,2017-03-27,2017-08-21
7902,7950,6,2017-03-27,2017-08-21
1052,7508,4,2017-03-27,2017-08-23
931,4175,4,2017-03-27,2017-08-25
1994,5096,5,2017-03-27,2017-08-29
1340,2973,5,2017-03-27,2017-09-04
7902,7983,7,2017-03-27,2017-09-08
1382,7535,5,2017-03-27,2017-09-12
1392,7585,5,2017-03-27,2017-09-13
1335,2967,4,2017-03-27,2017-09-14
7914,7938,5,2017-03-27,2017-09-15
2987,4087,4,2017-03-27,2017-09-17
1382,3590,5,2017-03-27,2017-09-18
291,5048,5,2017-03-27,2017-09-21
3148,4297,4,2017-03-27,2017-09-24
4297,4391,4,2017-03-27,2017-09-24
7914,7975,5,2017-03-27,2017-09-25
7908,7935,4,2017-03-27,2017-10-04
3663,5096,4,2017-03-27,2017-10-27
7904,7924,5,2017-03-27,2017-11-16
843,5067,4,2017-03-27,2017-11-21
2966,4072,4,2017-03-27,2017-11-26
1015,4072,4,2017-03-27,2017-11-26
1015,1333,4,2017-03-27,2017-11-26
7917,7959,5,2017-03-27,2017-12-01
7902,7995,4,2017-03-27,2017-12-02
1775,2987,4,2017-03-27,2017-12-05
1325,2991,5,2017-03-27,2017-12-21
7923,7996,4,2017-03-27,2017-12-23
3682,4678,4,2017-03-27,2017-12-23
3539,4678,4,2017-03-27,2017-12-23
3525,5026,4,2017-03-27,2017-12-27
5026,5133,4,2017-03-27,2017-12-27
1943,5026,4,2017-03-27,2017-12-27
1943,3525,4,2017-03-27,2017-12-27
3525,5133,4,2017-03-27,2017-12-27
7921,7960,4,2017-03-27,2017-12-28
3568,4245,4,2017-03-27,2017-12-31
3568,4224,4,2017-03-27,2017-12-31
3568,5333,4,2017-03-27,2017-12-31
4440,5841,4,2017-03-28,2017-04-21
4404,5841,4,2017-03-28,2017-04-21
2272,4404,4,2017-03-28,2017-04-21
2272,4440,4,2017-03-28,2017-04-21
187,4440,4,2017-03-28,2017-04-21
187,4404,4,2017-03-28,2017-04-21
2492,4440,4,2017-03-28,2017-04-21
3173,4440,4,2017-03-28,2017-04-21
3173,4404,5,2017-03-28,2017-04-24
2492,4404,5,2017-03-28,2017-04-24
2743,5350,4,2017-03-28,2017-04-27
2462,7610,4,2017-03-28,2017-04-28
7172,7563,5,2017-03-28,2017-04-29
7141,7563,5,2017-03-28,2017-04-29
3806,7563,5,2017-03-28,2017-04-29
3806,7120,5,2017-03-28,2017-04-29
3806,4213,5,2017-03-28,2017-04-29
1766,7149,5,2017-03-28,2017-04-29
1946,7172,5,2017-03-28,2017-04-29
4213,7149,5,2017-03-28,2017-04-29
7149,7563,5,2017-03-28,2017-04-29
3806,7172,5,2017-03-28,2017-04-29
2905,7120,5,2017-03-28,2017-04-29
2905,4213,5,2017-03-28,2017-04-29
1766,7172,5,2017-03-28,2017-04-29
1946,7120,5,2017-03-28,2017-04-29
1766,1946,5,2017-03-28,2017-04-29
1946,7149,5,2017-03-28,2017-04-29
1946,2905,5,2017-03-28,2017-04-29
1766,4213,5,2017-03-28,2017-04-29
1946,4213,5,2017-03-28,2017-04-29
1766,7120,5,2017-03-28,2017-04-29
1946,3806,5,2017-03-28,2017-04-29
4213,7141,5,2017-03-28,2017-04-29
2905,7172,5,2017-03-28,2017-04-29
2905,7141,5,2017-03-28,2017-04-29
2905,3806,5,2017-03-28,2017-04-29
1766,3806,5,2017-03-28,2017-04-29
3806,7141,5,2017-03-28,2017-04-29
4213,7563,5,2017-03-28,2017-04-29
1946,7141,5,2017-03-28,2017-04-29
3806,7149,5,2017-03-28,2017-04-29
1766,7141,5,2017-03-28,2017-04-29
2905,7149,5,2017-03-28,2017-04-29
8078,8084,4,2017-03-28,2017-04-30
8042,8084,4,2017-03-28,2017-04-30
8045,8078,4,2017-03-28,2017-04-30
8024,8084,4,2017-03-28,2017-04-30
8019,8045,4,2017-03-28,2017-04-30
8042,8045,4,2017-03-28,2017-04-30
8019,8084,4,2017-03-28,2017-04-30
8045,8084,4,2017-03-28,2017-04-30
8024,8042,4,2017-03-28,2017-04-30
8024,8078,4,2017-03-28,2017-04-30
8019,8024,4,2017-03-28,2017-04-30
1332,5327,4,2017-03-28,2017-05-02
2290,2642,4,2017-03-28,2017-05-08
2642,4283,4,2017-03-28,2017-05-08
3345,4424,4,2017-03-28,2017-05-08
1531,3560,4,2017-03-28,2017-05-08
1531,4283,4,2017-03-28,2017-05-08
4424,5812,4,2017-03-28,2017-05-08
2290,4424,4,2017-03-28,2017-05-08
2642,3345,4,2017-03-28,2017-05-08
2642,3560,4,2017-03-28,2017-05-08
2642,5812,4,2017-03-28,2017-05-08
1531,2290,4,2017-03-28,2017-05-08
4283,4424,4,2017-03-28,2017-05-08
1531,3345,4,2017-03-28,2017-05-08
3560,4424,4,2017-03-28,2017-05-08
4213,7120,6,2017-03-28,2017-05-09
8042,8078,5,2017-03-28,2017-05-12
1849,4097,4,2017-03-28,2017-05-12
4213,7172,7,2017-03-28,2017-05-12
3657,7666,4,2017-03-28,2017-05-12
1849,4152,4,2017-03-28,2017-05-12
8019,8042,5,2017-03-28,2017-05-12
2254,7139,4,2017-03-28,2017-05-13
2254,4490,5,2017-03-28,2017-05-14
8010,8085,4,2017-03-28,2017-05-15
3966,7682,4,2017-03-28,2017-05-15
8013,8084,4,2017-03-28,2017-05-17
8048,8074,4,2017-03-28,2017-05-17
8057,8074,4,2017-03-28,2017-05-17
8048,8057,4,2017-03-28,2017-05-17
8068,8089,6,2017-03-28,2017-05-19
8007,8068,6,2017-03-28,2017-05-19
8068,8073,6,2017-03-28,2017-05-19
8037,8089,6,2017-03-28,2017-05-19
8037,8073,6,2017-03-28,2017-05-19
8007,8037,6,2017-03-28,2017-05-19
8019,8078,7,2017-03-28,2017-05-21
8012,8099,4,2017-03-28,2017-05-22
8026,8035,4,2017-03-28,2017-05-27
1428,7163,4,2017-03-28,2017-05-27
8033,8044,4,2017-03-28,2017-05-29
8068,8093,8,2017-03-28,2017-05-30
8037,8093,8,2017-03-28,2017-05-30
8023,8050,4,2017-03-28,2017-05-31
8044,8078,4,2017-03-28,2017-06-04
8037,8068,9,2017-03-28,2017-06-05
1531,5812,6,2017-03-28,2017-06-06
8089,8093,7,2017-03-28,2017-06-06
8007,8073,7,2017-03-28,2017-06-06
8073,8089,7,2017-03-28,2017-06-06
8007,8093,7,2017-03-28,2017-06-06
8073,8093,7,2017-03-28,2017-06-06
8031,8088,4,2017-03-28,2017-06-08
8031,8041,4,2017-03-28,2017-06-08
8059,8088,4,2017-03-28,2017-06-08
8031,8046,4,2017-03-28,2017-06-08
8041,8059,4,2017-03-28,2017-06-08
8041,8046,4,2017-03-28,2017-06-08
1155,1487,5,2017-03-28,2017-06-08
8041,8088,4,2017-03-28,2017-06-08
8046,8088,4,2017-03-28,2017-06-08
4490,7139,5,2017-03-28,2017-06-08
8046,8059,4,2017-03-28,2017-06-08
8024,8045,7,2017-03-28,2017-06-10
8007,8089,9,2017-03-28,2017-06-11
8007,8048,5,2017-03-28,2017-06-11
8048,8089,5,2017-03-28,2017-06-11
1037,7692,4,2017-03-28,2017-06-14
1020,3089,4,2017-03-28,2017-06-20
1020,1822,4,2017-03-28,2017-06-20
1020,1849,4,2017-03-28,2017-06-20
1020,1818,4,2017-03-28,2017-06-20
1818,3089,4,2017-03-28,2017-06-20
2336,3089,4,2017-03-28,2017-06-20
3261,7656,4,2017-03-28,2017-06-22
1818,2336,5,2017-03-28,2017-06-24
1946,7563,6,2017-03-28,2017-06-28
8017,8024,4,2017-03-28,2017-06-28
4941,5065,4,2017-03-28,2017-06-29
1231,7504,4,2017-03-28,2017-06-29
5065,7504,4,2017-03-28,2017-06-29
1231,4941,4,2017-03-28,2017-06-29
1231,5065,4,2017-03-28,2017-06-29
4941,7504,4,2017-03-28,2017-06-29
7182,7511,4,2017-03-28,2017-07-03
8014,8078,5,2017-03-28,2017-07-07
7120,7563,6,2017-03-28,2017-07-09
8030,8034,4,2017-03-28,2017-07-09
1822,2336,7,2017-03-28,2017-07-11
8006,8017,5,2017-03-28,2017-07-23
8010,8040,5,2017-03-28,2017-07-28
4275,5079,5,2017-03-28,2017-07-30
8005,8084,4,2017-03-28,2017-08-04
8031,8059,5,2017-03-28,2017-08-06
4198,5047,4,2017-03-28,2017-08-08
3862,4198,4,2017-03-28,2017-08-08
3862,5047,5,2017-03-28,2017-08-14
3713,4152,5,2017-03-28,2017-08-14
3142,7621,4,2017-03-28,2017-08-16
8001,8005,4,2017-03-28,2017-08-17
8004,8010,4,2017-03-28,2017-08-18
3173,7692,5,2017-03-28,2017-08-26
