Passenger ID,Longest Run
9703,16
14184,2
9997,17
1074,20
7657,15
11159,4
1604,3
12747,7
14558,4
9472,11
9917,5
3899,8
15046,2
13526,5
7197,6
2922,9
14661,5
10062,2
9556,2
5174,5
11660,7
3151,12
5961,7
8508,5
2011,2
13671,7
14462,2
3097,6
13936,3
4853,9
10243,8
11528,13
7148,11
14588,4
9720,8
3582,10
13885,5
292,10
6856,4
13286,4
3229,4
13352,2
7254,2
14730,5
3011,9
7533,17
1206,7
233,11
452,10
11852,3
11121,7
12732,4
6,9
4604,6
7535,11
13564,10
12898,6
6529,11
14537,4
8170,4
8486,4
15402,1
14162,2
920,17
7849,8
10725,3
248,15
14445,2
3857,6
5406,11
5157,9
13795,5
10943,10
5012,20
14817,2
60,2
14308,2
6760,3
9682,5
380,10
8999,7
11555,3
3450,4
3503,20
4199,10
10313,11
3459,9
5875,2
117,15
10811,2
13386,2
14901,2
13337,2
11897,11
512,11
6560,12
4216,4
15221,2
5783,5
942,20
11993,7
439,12
4893,8
4323,3
3591,5
2910,19
7782,2
9571,2
12078,6
3301,11
10593,5
2204,15
7179,7
12586,8
8655,3
7471,5
3303,17
13228,6
4962,6
4753,9
5530,18
12895,5
13814,2
8201,8
14836,2
6183,4
4589,4
11253,8
8640,3
6406,5
678,4
6020,13
4407,15
4629,6
11255,6
10362,2
2473,8
8046,9
5751,8
13408,2
6482,5
11395,7
15345,3
13848,8
270,9
9340,12
529,13
3567,8
12275,8
7022,5
10742,7
10954,13
1691,8
14004,4
8927,11
12581,6
10875,5
8302,2
9308,4
6015,8
7393,17
13017,3
9090,5
2574,9
4888,8
1438,14
7286,10
5839,4
10693,5
8233,10
13019,2
7745,8
3720,10
8375,17
5411,16
661,9
546,12
13148,3
7725,10
6731,14
10652,10
8078,19
11307,9
14096,5
10561,12
9221,6
8243,7
9440,5
793,13
9968,10
13532,6
3984,4
3169,16
6296,5
11079,6
4480,5
3265,7
9136,7
7550,9
11791,5
6047,14
2646,6
12457,3
925,9
15379,2
13038,5
10506,6
11550,5
3852,3
9836,8
12623,2
13767,4
7814,13
14712,5
85,2
10139,6
14420,2
9004,8
14785,3
1306,9
201,4
4531,9
8365,11
7037,5
5017,4
13709,4
3531,10
8382,6
1199,5
3635,12
11170,6
5443,11
6684,2
2364,2
2164,11
5438,16
1153,7
761,13
6139,4
15424,1
7217,2
12029,5
15179,5
5697,7
13141,3
12200,7
3186,12
12446,3
11032,6
12333,3
6064,17
5167,9
7859,13
12350,6
13265,7
15449,1
6058,5
11820,3
2118,4
8795,2
6588,8
15364,3
12927,5
8418,2
5968,5
810,10
14295,4
7885,6
5545,12
5070,6
1338,14
10197,4
13322,2
11984,2
9797,5
12425,1
8827,8
13875,3
11672,4
13104,4
5142,4
6250,2
4557,4
7937,7
13233,7
9209,7
8397,14
5291,5
5034,6
8959,10
12474,1
9588,2
7019,8
14342,2
8613,2
381,19
3995,13
11324,11
2047,4
5562,5
10922,5
13051,4
11687,11
5117,8
7357,4
3318,5
6388,10
9009,7
13049,2
13956,6
7269,2
1470,11
14263,3
11456,7
7518,4
1915,6
13200,4
1708,4
6571,11
10598,4
2093,6
7410,6
11069,6
7642,4
10374,10
9164,3
5487,17
10258,5
6865,12
1783,14
13426,5
10831,2
5416,21
12489,3
10911,5
10165,9
12068,5
4076,12
12705,5
14698,4
15392,3
4370,11
2737,5
220,4
366,23
10947,2
1311,16
534,12
15258,2
7005,7
5862,6
3767,4
6307,8
13519,4
2232,12
2296,5
4576,11
9252,22
2307,2
3054,8
2641,7
4910,3
6884,10
8630,2
14879,2
8842,5
5519,3
12132,3
12565,6
8481,4
12985,2
10639,5
102,7
6741,10
8250,8
7078,5
12205,4
5540,9
2083,7
1067,7
4031,18
9785,5
1736,3
11952,3
4100,3
2496,9
2621,5
4312,5
2790,14
9688,14
12127,5
2660,10
4059,13
10477,6
13914,4
1768,5
9041,6
12073,8
2905,13
14693,5
714,7
14808,2
5334,9
1868,14
13379,2
8668,2
9043,9
12169,7
2382,9
6442,9
2061,3
3550,8
4172,6
11499,5
2773,16
12300,3
7999,4
5281,5
4999,5
2000,9
14993,2
1636,10
9175,3
6464,8
11704,7
11202,3
9323,3
5122,7
12232,7
3418,14
12673,2
9384,7
7129,4
13644,9
11410,3
4925,11
10855,2
13059,4
6092,9
11424,2
8712,2
7110,10
3795,2
12100,7
1047,6
1730,8
15014,2
9881,6
10345,7
798,21
11698,8
7735,10
12365,2
3037,5
11292,5
1057,18
3679,12
11545,6
13109,3
9544,7
6200,4
1163,12
13476,2
10133,4
9036,6
13547,3
8113,8
8513,10
9105,3
15082,2
1274,9
2441,20
5206,3
2673,10
7730,7
6652,12
7439,7
5049,4
2589,9
13448,4
12110,5
334,19
3735,18
9488,3
9549,2
2705,10
13260,6
4915,6
12542,8
2264,9
8343,6
15486,1
12437,5
2409,5
1387,6
11147,9
9753,6
1900,12
1723,11
6635,3
12159,8
9705,7
910,13
11520,4
10099,6
11015,3
9722,3
3261,10
957,8
11751,2
1223,17
11582,4
12385,6
4712,9
894,9
13746,5
6343,10
4466,6
746,16
6124,4
8211,11
11339,5
12613,4
5611,9
13423,3
9296,8
15488,1
13126,3
5734,16
1091,4
12773,6
12561,3
7042,6
8783,5
6079,6
8265,7
2601,13
3827,7
8778,7
15330,2
6122,9
12260,3
6897,11
11730,11
2428,6
9522,15
5630,12
3711,5
7989,3
2733,4
14958,2
11238,3
825,7
5670,5
8168,6
7870,13
1343,22
4016,17
2560,17
7703,11
2805,4
6328,7
10171,5
3972,7
13917,3
11388,9
14501,4
6550,7
6820,8
2249,11
13002,4
9861,3
13335,2
6247,3
1021,15
3603,7
6000,7
778,17
8091,10
13850,3
6605,2
14357,2
1042,11
14032,3
952,12
13301,2
8994,13
2541,14
11768,3
14766,4
1519,4
2596,16
3867,18
8329,11
14323,2
9075,7
10975,13
11766,5
4397,13
9412,6
5002,15
8476,3
7827,11
7353,8
11619,5
4920,6
12788,4
1355,5
1580,9
6032,13
7757,4
2277,17
12510,3
6264,2
10699,3
1255,9
4375,3
14943,2
5794,6
12012,5
4434,6
10229,14
12664,2
11439,2
8756,4
12700,2
302,8
13892,3
260,10
1123,4
11037,7
9817,3
6371,6
10990,2
15206,4
862,5
349,11
12635,3
8888,8
15434,1
12550,3
4878,4
6773,12
5579,11
6528,7
5512,6
9949,8
12737,2
4609,12
13186,3
1570,8
4989,13
7229,8
13572,3
10858,12
8199,3
13131,4
5044,7
14043,2
1174,5
14870,2
28,8
7881,10
5349,5
7994,2
1676,7
2133,5
11719,7
38,5
14199,2
8645,10
1217,4
598,5
12878,6
2147,5
160,6
5266,8
8582,7
11484,6
11587,10
9031,13
11223,3
12190,7
14285,4
3022,6
13949,3
5455,10
1502,7
4252,5
5956,11
1751,4
11865,5
820,3
7161,3
5815,13
14222,2
561,6
13649,4
1666,14
7834,14
10843,5
9618,8
14465,4
14978,2
12576,6
12970,2
11217,5
12247,4
8856,7
392,22
6990,2
7710,10
14973,2
5719,8
1487,10
10426,3
14851,2
10657,3
3610,10
13472,7
9207,5
297,4
15169,3
70,2
12083,7
8608,2
14075,6
3742,11
11471,2
6565,12
10612,8
12809,6
2969,20
4344,12
4091,8
14605,4
15118,3
8724,9
5366,5
15097,2
3752,11
8910,9
13829,4
11634,5
10409,9
4521,5
3989,10
4128,5
8334,4
424,9
9849,4
3239,11
12591,3
3069,3
3233,14
192,2
8550,4
407,17
7084,5
693,7
14524,4
9981,7
3371,9
4204,14
3884,5
15407,1
15061,5
5470,9
630,4
9126,3
13443,4
12846,2
2937,14
7428,6
4785,7
6915,12
4499,5
12687,9
12650,2
2606,4
13218,7
11003,10
14772,5
10102,6
3154,17
11106,5
429,13
12608,2
7640,10
4449,16
8081,4
3134,7
12715,2
4493,6
5085,4
1824,11
5754,12
10084,4
11565,6
275,13
4284,7
788,6
7692,9
21,8
3816,9
1619,10
6356,9
2150,11
10394,16
7984,4
6107,12
1370,9
137,8
13078,5
9745,10
10548,17
13498,7
2032,13
6496,7
5893,4
165,13
5507,4
5102,3
12215,2
4821,5
8899,4
3814,10
2986,5
8714,13
815,10
13971,4
5396,10
6178,3
12115,7
13401,4
6696,2
11908,2
2132,4
2890,2
13860,5
2414,8
14648,4
3250,7
729,7
14484,3
10441,5
4836,4
5594,11
11212,9
6509,9
7906,2
4160,5
4661,7
15029,2
2528,14
6232,6
3664,7
11191,5
13094,6
8878,5
3207,4
2396,7
33,9
7244,7
14921,2
11371,9
13583,6
7565,16
10278,4
3514,8
11074,11
3682,8
12037,4
4021,9
9734,7
7378,5
3339,9
14745,4
15439,1
14000,3
11592,7
3778,4
13250,4
1238,8
2015,5
8491,9
3889,16
3471,14
4044,13
5924,8
13622,4
9993,11
3286,16
9158,4
12058,6
5843,8
11185,4
6620,2
14280,2
7301,8
6582,5
7957,4
1883,10
9177,9
15298,2
12525,4
8746,11
1560,9
8623,6
9455,8
3282,2
14064,5
2958,5
92,19
1423,16
3948,10
15471,1
9264,9
7097,7
8683,2
14680,5
3307,17
13158,3
916,8
5769,19
10721,3
9380,11
13551,4
3271,9
467,11
3166,7
13254,3
13778,2
3958,8
2445,9
7308,7
4295,7
7237,5
7663,9
6646,5
10263,3
6303,11
9113,4
12640,3
8810,17
14889,2
5826,5
3191,13
10710,6
6926,7
11244,2
2464,8
1938,8
229,14
847,8
7977,7
4280,14
2758,18
5391,6
8255,8
8948,10
14789,4
566,5
13654,7
484,10
8058,10
12764,6
5879,10
15174,4
5702,12
7325,7
2873,3
1032,8
3980,9
252,9
5302,8
10330,9
5492,6
9554,2
11570,4
10634,4
1837,11
14401,4
14804,2
5937,6
6852,5
3269,10
15129,3
10939,8
13034,3
1602,9
3618,13
8832,7
8672,7
8920,11
10756,10
6629,2
15296,2
10038,5
6432,7
5983,8
5655,4
10502,7
4140,4
197,4
14541,4
9217,10
8540,8
8788,5
4849,8
361,7
14217,6
1365,12
8048,16
2628,10
4192,5
15050,2
65,4
8371,9
2670,5
3810,6
7842,10
7555,10
13282,3
5465,11
13562,7
4608,5
9512,10
7576,7
10490,8
1920,9
12910,8
15253,2
9190,2
6163,6
8026,5
8700,3
4053,13
625,15
4585,5
12147,4
8270,14
8085,8
2433,15
12340,8
13639,5
7185,12
9058,8
2477,6
10826,2
3403,10
10808,11
14248,2
9658,5
4725,4
1968,7
10462,4
3090,13
7063,4
8651,7
6848,15
2565,14
12279,2
12321,3
8503,10
8145,7
3198,12
8386,11
14926,2
879,10
14317,4
8942,6
13810,3
6427,5
14363,2
14477,2
852,13
2663,7
1555,15
7762,5
2332,8
11813,6
9671,7
2826,12
6043,14
4155,3
435,21
7449,6
3314,4
15383,2
2820,5
13612,5
6445,8
7314,2
9790,11
4994,7
7432,2
3297,18
14430,2
4757,5
11152,6
4947,7
3137,8
3499,4
3065,16
3750,5
9586,10
5177,7
3349,9
15103,2
3556,7
5690,14
13536,7
12822,2
9277,8
97,8
13924,3
6556,7
