passengerId1,passengerId2,numberOfFlightsTogether
1677,7662,8
9441,11917,8
730,768,8
2941,4009,8
5720,5761,8
2068,9098,8
10778,10785,8
4514,9441,8
1138,10017,8
2522,2545,8
3279,7810,8
10702,10714,8
3432,7076,8
1432,2857,8
1337,4025,8
7039,7662,8
1246,3677,8
3078,3837,8
392,4034,8
719,721,8
2105,2106,8
281,3193,8
905,2992,8
4011,4339,8
1337,2717,8
407,4399,8
5720,5788,8
1884,4990,8
5954,5977,8
2294,4316,8
5332,6507,8
10616,10644,8
2201,4170,8
183,356,8
719,774,8
407,1337,8
3576,4969,8
1208,5482,8
10407,10430,8
4059,4080,8
1464,4011,8
407,4388,8
3090,8584,8
733,771,8
739,763,8
1692,2560,8
4632,4656,8
2717,2969,8
6813,7872,8
5482,7662,8
752,759,8
364,746,8
5706,5734,8
8969,8995,8
8158,10325,8
739,755,8
740,771,8
805,859,8
4903,5009,8
4170,8679,8
10702,10767,8
975,1369,8
2279,3509,8
4053,4388,8
6855,6897,8
5459,11275,8
7319,11767,8
4042,4080,8
915,2941,8
1484,2959,8
8270,8350,8
8045,8590,8
7661,9994,8
364,374,8
811,3752,8
2939,4388,8
1012,2645,8
382,1822,8
211,8363,8
758,795,8
701,771,8
3002,3064,8
950,2993,8
4053,4395,8
1452,2035,8
276,2204,8
191,4820,8
6548,10016,8
10067,13564,8
2941,2959,8
3503,5789,8
2926,10313,8
2185,4707,8
419,2269,8
4552,8048,8
191,6729,8
293,299,8
771,772,8
1095,3440,8
1498,2728,8
997,2993,8
4009,4395,8
9369,9385,8
4249,10373,8
701,755,8
1484,2939,8
407,4042,8
2277,4200,8
5769,5788,8
6,72,8
1045,1095,8
928,2717,8
5734,5798,8
5720,5769,8
4607,4990,8
2258,3513,8
4607,4942,8
2926,3093,8
816,4092,8
9822,10110,8
749,795,8
407,1371,8
4969,6064,8
6447,6813,8
7721,12323,8
3590,6447,8
628,4827,8
3188,3421,8
1616,2760,8
1865,4942,8
1994,6720,8
92,9098,8
10714,10716,8
10446,12298,8
6535,10196,8
139,8025,8
2221,2222,8
1982,5096,8
3090,8562,8
10716,10778,8
8212,10802,8
733,755,8
385,1043,8
1315,1332,8
794,2911,8
4316,6064,8
9704,9755,8
